,GEO,2007S1,2007S2,2008S1,2008S2,2009S1,2009S2,2010S1,2010S2,2011S1,2011S2,2012S1,2012S2,2013S1,2013S2,2014S1,2014S2,2015S1,2015S2,2016S1,2016S2,2017S1,2017S2,2018S1,2018S2,2019S1,2019S2,2020S1,2020S2,2021S1
0,European Union - 27 countries (from 2020),0.1159,0.109,0.1103,0.1152,0.116,0.1163,0.1181,0.1226,0.1269,0.1281,0.1293,0.1333,0.1326,0.1338,0.1303,0.1331,0.131,0.1312,0.1257,0.1276,0.1271,0.127,0.1286,0.1327,0.1282,0.1283,0.127,0.1282,0.1329
1,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",0.1238,0.1121,0.1124,0.1172,0.1204,0.1197,0.1206,0.125,0.1289,0.1313,0.1329,0.137,0.1362,0.1384,0.1355,0.1397,0.1371,0.1372,0.1307,0.1324,0.1327,0.132,0.1346,0.139,0.1335,0.1337,0.1331,0.1356,0.1399
2,Belgium,,0.1286,0.15,0.1619,0.1431,0.139,0.1449,0.146,0.1572,0.1595,0.159,0.1684,0.1583,0.1641,0.1673,0.1678,0.1817,0.1842,0.1567,0.1815,0.1929,0.179,0.1872,0.1976,0.1948,0.1954,0.1872,0.1798,0.1767
3,Bulgaria,,0.0603,0.0593,0.0685,0.0685,0.0685,0.0675,0.0692,0.0688,0.0727,0.0706,0.0796,0.0771,0.0735,0.0689,0.0746,0.0785,0.0798,0.0797,0.0781,0.0796,0.0819,0.0816,0.0838,0.0831,0.0798,0.0831,0.0818,0.0853
4,Czechia,0.0963,0.099,0.1167,0.1189,0.1212,0.1277,0.1236,0.1279,0.1372,0.1345,0.1374,0.1377,0.1378,0.1348,0.1137,0.1129,0.1134,0.1153,0.1161,0.1162,0.1176,0.1218,0.1286,0.1299,0.1238,0.1255,0.1321,0.1283,0.1284
5,Denmark,,0.1027,0.1124,0.1262,0.1115,0.0963,0.1041,0.1096,0.1173,0.1201,0.113,0.1063,0.1064,0.102,0.1038,0.101,0.0935,0.0883,0.0897,0.0948,0.094,0.0922,0.1011,0.1116,0.1084,0.1042,0.0951,0.0908,0.104
6,Germany (until 1990 former territory of the FRG),0.1227,0.1279,0.1299,0.1341,0.1401,0.1359,0.1381,0.137,0.1406,0.1395,0.1441,0.1432,0.1493,0.1489,0.1435,0.144,0.1431,0.1427,0.1388,0.1382,0.1389,0.1383,0.1379,0.1378,0.1473,0.1321,0.143,0.1451,0.1562
7,Estonia,,0.0652,0.0639,0.067,0.0712,0.0696,0.0695,0.0711,0.0704,0.0763,0.0771,0.0794,0.0994,0.1007,0.0967,0.0982,0.0951,0.0951,0.0935,0.096,0.0926,0.095,0.0989,0.1048,0.0982,0.1027,0.0882,0.0953,0.098
8,Ireland,,0.169,0.1559,0.1791,0.1789,0.1635,0.1589,0.1629,0.1584,0.1755,0.185,0.1954,0.1951,0.2026,0.2008,0.2085,0.197,0.1991,0.1895,0.1878,0.1846,0.1865,0.1846,0.2006,0.2027,0.213,0.2043,0.2179,0.2069
9,Greece,,0.09,0.0957,0.1005,0.1055,0.0942,0.0975,0.0959,0.1025,0.1003,0.1065,0.1072,0.117,0.1193,0.1204,0.1216,0.1211,0.1227,0.1162,0.1185,0.1139,0.109,0.1132,0.1125,0.1141,0.1189,0.1285,0.1278,0.1304
